,linux time (ms),uptime  (ms),drive mode ,mpc step counter,mpc origin latitude  (deg),mpc origin longitude  (deg),closest trajectory point index to robot  ,"mpc error x (W,E)  (m)","mpc error y (W,E)  (m)",abs mpc error (m),"input ""x"" for mhe (m)","input ""y"" for mhe (m)","input ""speed"" for mhe (m/s)","input ""vyaw"" for mhe (rad/s)",mhe output x  (m),mhe output y  (m),mhe output speed  (m/s),mhe output yaw  (rad),mpc reference heading (rad),mpc turn rate command (rad/s),turn rate command as PWM,throttle command as PWM ,primary gps latitude (deg),primary gps longitude (deg),secondary gps latitude  (deg),secondary gps longitude (deg),accelerometer x (m/s^2),accelerometer y (m/s^2),accelerometer z (m/s^2),gyro yaw rate (rad/s),gyro pitch rate   (rad/s),gyro roll rate (rad/s),yaw (rad),pitch   (rad),roll (rad),sonar1 measurement (m),ultrasonic sensor measurement (m),primary gps time (s),normalized turn rate command,normalized throttle command ,speed calculation from encoder left (m/s),speed calculation from encoder right (m/s),front gimbal target angle (degrees from straight down),left gimbal target angle  (degrees from straight down),right gimbal target angle  (degrees from straight down) ,front gimbal measured angle  (degrees from straight down),left gimbal measured angle    (degrees from straight down),right gimbal measured angle  (degrees from straight down),internal temperature (C),battery voltage (V),primary gps type,secondary gps type,MPC R value,MPC Q[0] value,weed_num,start
0,1527886326091,1094091, RC,0,40.0483048792,-88.2326839842,0,1.366139625,22.1443626728,22.186462892,1.5350917818,19.7687121972,0.0001,0.0233874126,1.5288778823,19.7692920161,0.0073531619,2.1352613184,0,0,1500,1500,40.0484826635,-88.2327011447,40.048485,-88.2327005,-0.1961330026,-0.1961330026,-10.1989154816,0.0244346091,-0.0031415928,-0.0127409039,0,0,0,0,0,205141,0.0,0.0,0.0,0.0,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,245,19
1,1527886326292,1094292, RC,0,40.0483048792,-88.2326839842,0,1.3676251226,22.1440598724,22.1862521871,1.5355630135,19.7688048594,0.0001,0.0233874126,1.5303633799,19.7689892157,0.0035375036,2.139487299,0,0,1500,1500,40.0484826643,-88.2327011443,40.048485,-88.2327005,-0.2941994965,-0.0980665013,-10.1008491516,0.0233874126,-0.0031415928,-0.0106465087,0,0,0,0,0,205141,0.0,0.0,0.0,0.0,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,265,28
2,1527886326497,1094497, RC,0,40.0483048792,-88.2326839842,0,1.3685285688,22.1436544711,22.1859032671,1.5381901993,19.76732226,0.0001,0.0244346091,1.5312668261,19.7685838144,0.0012784068,2.1437169291,0,0,1500,1500,40.048482651,-88.2327011693,40.0484851667,-88.2327006667,-0.1961330026,-0.2941994965,-10.1989154816,0.0244346091,-0.0041887901,-0.0127409039,0,0,0,0,0,205141,0.0,0.0,0.0,0.0,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,271,37
3,1527886326700,1094700, RC,0,40.0483048792,-88.2326839842,0,1.3690393252,22.1436140158,22.1858944006,1.5391566323,19.7667477531,0.0001,0.0233874126,1.5317775825,19.7685433591,0.0003845244,2.1481384296,0,0,1500,1553,40.0484826458,-88.2327011748,40.0484851667,-88.2327006667,-0.1961330026,-0.0980665013,-10.1989154816,0.0233874126,-0.0041887901,-0.0127409039,0,0,0,0,0,205141,0.0,0.1069760323,0.0,0.0,90,45,45,0,0,0,42.2180023193,16.7000007629,0,2,10,1,270,45
4,1527886326900,1094900, RC,0,40.0483048792,-88.2326839842,0,1.3698485028,22.1433680745,22.1856988757,1.5395483754,19.7650983612,0.0626295209,0.0233874126,1.5325867601,19.7682974178,0.0009894862,2.152371583,0,0,1500,1553,40.048482631,-88.2327011733,40.0484851667,-88.2327006667,-0.2941994965,-0.2941994965,-10.1989154816,0.0233874126,-0.0064577183,-0.0116937063,0,0,0,0,0,205141,0.0,0.1069760323,0.0634572282,0.061801821,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,269,54
5,1527886327101,1095101, RC,0,40.0483048792,-88.2326839842,0,1.3698485028,22.1433680745,22.1856988757,1.5418459758,19.7653763491,0.1169820204,0.0233874126,1.5325867601,19.7682974178,0.0009894862,2.152371583,0,0,1500,1565,40.0484826335,-88.2327011945,40.0484851667,-88.2327006667,-0.1961330026,-0.3922660053,-10.1008491516,0.0233874126,-0.0031415928,-0.0116937063,0,0,0,0,0,205142,0.0,0.1316629648,0.1213964373,0.1125676036,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,267,63
6,1527886327302,1095302, RC,0,40.0483048792,-88.2326839842,0,1.3732853905,22.1432363453,22.1857798738,1.5701603728,19.7694905617,0.1513776779,0.0467748251,1.5360236478,19.7681656886,0.0170545278,2.1608123863,0,0,1500,1565,40.0484826705,-88.2327015213,40.0484851667,-88.2327006667,0.0,-0.7845320106,-10.0027828217,0.0233874126,-0.0914552488,0.0830776764,0,0,0,0,0,205142,0.0,0.1316629648,0.151009813,0.1517455429,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,279,72
7,1527886327502,1095502, RC,0,40.0483048792,-88.2326839842,0,1.3783158737,22.1435573761,22.1864122363,1.6115365717,19.7699724058,0.1462275237,-0.0064577183,1.541054131,19.7684867194,0.0261230784,2.1691766144,0,0,1500,1565,40.0484826748,-88.2327020017,40.048485,-88.2327006667,0.6864655018,0.3922660053,-10.0027828217,0.0628318514,0.0628318514,0.0478220217,0,0,0,0,0,205142,0.0,0.1316629648,0.1471471936,0.1453078538,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,282,81
8,1527886327703,1095703, RC,0,40.0483048792,-88.2326839842,0,1.3841260464,22.1442218528,22.1874371296,1.6232603237,19.776662634,0.157999292,-0.0649262487,1.5468643037,19.7691511961,0.0359404329,2.1677675285,0,0,1490,1565,40.048482735,-88.232702128,40.048485,-88.2327006667,-1.2748644352,-0.2941994965,-8.9240512848,-0.0298451309,0.0521853448,0.1171115935,0,0,0,0,0,205142,-0.0199760199,0.1316629648,0.1506419331,0.1653566509,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,273,89
9,1527886327904,1095904, RC,0,40.0483048792,-88.2326839842,0,1.3916767511,22.1450874344,22.1887733248,1.6518819479,19.7791274555,0.1595627367,-0.0095993111,1.5544150084,19.7700167777,0.0458147162,2.1555460188,0,0,1500,1565,40.0484827572,-88.2327024662,40.048485,-88.2327006667,0.588398993,-1.2748644352,-14.2196426392,0.0511381482,-0.1467821874,0.069115039,0,0,0,0,0,205142,0.0,0.1316629648,0.1478829235,0.17124255,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,241,98
